ID,"история, археология","концерты, фестивали",образование,европа,культурные мероприятия,религия,"театр, живопись",поздравления,москва,"история, военные конфликты",литература
0,0.3031694076321252,0.2699185693756985,0.4269120229921763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.30463063342109337,0.26018274740591607,0.4351866191729905,0.0,0.0,0.0,0.0,0.0
2,0.1906158357771261,0.0,0.0,0.0,0.0,0.0,0.809384164222874,0.0,0.0,0.0,0.0
3,0.0,0.1727193566562516,0.0,0.4461916713619833,0.3810889719817651,0.0,0.0,0.0,0.0,0.0,0.0
4,0.06884138175897074,0.0,0.3877596197035903,0.0,0.13523289228096744,0.0,0.29231109793039883,0.1158550083260727,0.0,0.0,0.0
5,0.0,0.19780109274963964,0.0,0.0,0.2182147286561861,0.0,0.0,0.0,0.5839841785941743,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0.5124057364031012,0.15206879919059776,0.0,0.0,0.33552546440630115,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.31630170316301703,0.0,0.6836982968369829,0.0,0.0,0.0,0.0
9,0.22786799095563012,0.0,0.0,0.0,0.11190670018461552,0.3743545565699638,0.0,0.0,0.0,0.28587075228979053,0.0
10,0.5290102389078498,0.4709897610921502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0.09432080791596914,0.1259639176684233,0.39845729058378804,0.0,0.1389637525879403,0.0,0.0,0.0,0.12396449040384516,0.118329740840034,0.0
13,0.2335244743621707,0.0,0.0,0.5371062910329926,0.2293692346048367,0.0,0.0,0.0,0.0,0.0,0.0
14,0.5290102389078498,0.4709897610921502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.138585924268337,0.12338617773568067,0.3903032152863368,0.0,0.0,0.0,0.0,0.0,0.0,0.3477246827096455,0.0
16,0.0,0.11680911680911682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8831908831908832
17,0.0,0.18988057478555864,0.6006426345257467,0.0,0.2094767906886946,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0.08699930838518705,0.3098297950233758,0.0,0.0,0.17090255597374823,0.28585487040847174,0.0,0.14641347020921724,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.31300838869752523,0.0,0.0,0.268156576902453,0.41883503440002184,0.0,0.0
21,0.12486975664551883,0.0,0.3516740085118694,0.0,0.0,0.0,0.0,0.21014666362294634,0.0,0.3133095712196654,0.0
22,0.5290102389078498,0.4709897610921502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.08748767776267093,0.07789225504031347,0.0,0.0,0.08593095751778355,0.0,0.3714861394230335,0.14723536013717792,0.22996761011902073,0.0,0.0
24,0.0,0.16376937013024798,0.25902298336926977,0.0,0.18067083537500667,0.0,0.0,0.15478202664749047,0.24175478447798512,0.0,0.0
25,0.0,0.1309086068915029,0.0,0.33818056780304917,0.14441874781624878,0.0,0.0,0.0,0.3864920774891991,0.0,0.0
26,0.1364183153745745,0.0,0.0,0.0,0.0,0.0,0.2896265772567889,0.11479102147372731,0.0,0.0,0.45916408589490926
27,0.0,0.3118756936736959,0.0,0.0,0.6881243063263041,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.15347756846300356,0.0,0.0,0.2539753357127995,0.0,0.36598497095023924,0.0,0.22656212487395763,0.0,0.0
29,0.0,0.18474687705456935,0.0,0.0,0.8152531229454306,0.0,0.0,0.0,0.0,0.0,0.0
30,0.12527457054350885,0.33460433680653334,0.0,0.0,0.0,0.0,0.0,0.21082793579273443,0.3292931568572233,0.0,0.0
31,0.5044883303411131,0.0,0.0,0.0,0.49551166965888693,0.0,0.0,0.0,0.0,0.0,0.0
32,0.16292848074481592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4282691493863733,0.40880236986881086,0.0
33,0.2226528171956262,0.0,0.0,0.0,0.21869102329534817,0.0,0.0,0.0,0.0,0.5586561595090257,0.0
34,0.0,0.40384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.5961538461538463,0.0,0.0
35,0.0,0.12006999076026274,0.0,0.15509040473200605,0.264923111285989,0.0,0.0,0.11348078395024833,0.17724617683657837,0.1691895324349157,0.0
36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.14297100727308956,0.0,0.0,0.0,0.0,0.0,0.0,0.4812194878947893,0.37580950483212117,0.0,0.0
38,0.22428762243989314,0.2995325022261799,0.0,0.0,0.0,0.0,0.47617987533392697,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.17494494739417668,0.0,0.37815023244433577,0.0,0.0,0.44690482016148764,0.0
41,0.0,0.0,0.20139278760586263,0.16447077654478778,0.07023663055293429,0.0,0.0,0.0,0.5638998052964153,0.0,0.0
42,0.046964957757253026,0.1254418871709855,0.2645373130816701,0.0,0.0,0.0,0.0,0.0,0.2469014922095588,0.0,0.3161543497805326
43,0.08105753771431731,0.07216735615855348,0.22828449397093445,0.1864323367429298,0.15923046554556283,0.0,0.0,0.27282780986770216,0.0,0.0,0.0
44,0.2321616668391795,0.06889959144904681,0.0,0.17799061124337093,0.0,0.0,0.0,0.0,0.0,0.0,0.5209481304684028
45,0.17107100655279836,0.0,0.24089590718659362,0.0,0.0,0.0,0.3631969062197873,0.0,0.2248361800408207,0.0,0.0
46,0.16616314199395774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8338368580060423,0.0
