ID,"телефоны, планшеты",автопром,космос,школа
0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0
2,0.18984126984126984,0.21174603174603177,0.5984126984126984,0.0
3,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,1.0,0.0
7,0.0,0.0,0.5799086757990868,0.4200913242009132
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.4727272727272727,0.5272727272727273,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.26136363636363635,0.7386363636363636,0.0
14,1.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.4688343035638222,0.1743101897865493,0.0,0.35685550664962845
17,0.46691176470588236,0.0,0.0,0.5330882352941176
18,0.412793373216751,0.15347445927289463,0.4337321675103543,0.0
19,0.0,0.0,0.0,0.0
20,0.11469069635039363,0.0,0.36152502110450163,0.5237842825451048
21,0.6419753086419753,0.3580246913580247,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.6419753086419753,0.3580246913580247,0.0,0.0
24,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
25,0.23534041715859896,0.3937426210153483,0.3709169618260527,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.5799086757990868,0.4200913242009132
28,0.0,0.0,1.0,0.0
29,0.31910352187833513,0.17796157950907152,0.5029348986125933,0.0
30,0.13690476190476192,0.0,0.8630952380952381,0.0
31,1.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.5149253731343284,0.4850746268656716,0.0
34,0.0,1.0,0.0,0.0
35,0.0,1.0,0.0,0.0
36,0.0,1.0,0.0,0.0
37,0.4876325088339223,0.0,0.5123674911660777,0.0
38,0.0,1.0,0.0,0.0
39,0.0,1.0,0.0,0.0
40,0.30455635491606714,0.0,0.0,0.6954436450839329
41,0.0,0.0,0.0,1.0
42,0.46691176470588236,0.0,0.0,0.5330882352941176
43,1.0,0.0,0.0,0.0
