ID,банки,"налоги, льготы, жкх",сельское хозяйство,"экспорт продуктов, нефть, газ",курсы валют,европа,пенсии,экономические мероприятия
270,0.0,0.05011754311302758,0.16175503332776095,0.11198425384229606,0.1634850336842076,0.34740569657894116,0.0,0.1652524394537666
271,0.3122945594480594,0.272361812502242,0.0,0.07607175166042474,0.11105662140799974,0.0,0.22821525498127423,0.0
272,0.327987910291798,0.0,0.0,0.0798944909685149,0.11663741194868754,0.0,0.23968347290554476,0.23579671388545484
273,0.0,0.30917327293318236,0.0,0.6908267270668177,0.0,0.0,0.0,0.0
274,0.0,0.19188991422639243,0.46449542729404514,0.10719125245247196,0.07824388213776697,0.0,0.0,0.1581795238893235
275,0.0,0.28642361812428463,0.0,0.0,0.23358075809600748,0.0,0.4799956237797078,0.0
276,0.0,0.0,0.0,0.11690951002850923,0.0,0.36268518452026166,0.17536426504276387,0.3450410404084651
277,0.0,0.0,0.4193548387096773,0.14516129032258063,0.0,0.0,0.43548387096774194,0.0
278,0.0,0.14193397473694622,0.0,0.15857092415666152,0.2314965898115967,0.0,0.0,0.4679985112947956
279,0.0,0.0,0.29213483146067415,0.10112359550561799,0.0,0.0,0.6067415730337079,0.0
280,0.27663652499061187,0.06031583249795309,0.0,0.06738582019002086,0.3935043617513517,0.0,0.20215746057006256,0.0
281,0.0,0.2962237291544976,0.0,0.22063061634217765,0.4831456545033249,0.0,0.0,0.0
282,0.0,0.11203098342520042,0.36158148089614944,0.0625814101551028,0.091362165627503,0.0,0.18774423046530841,0.18469972943073582
283,0.0,0.18376647594443887,0.0,0.20530686872913503,0.0,0.0,0.30796030309370254,0.30296635223272356
284,0.0,0.3737166324435318,0.0,0.6262833675564682,0.0,0.0,0.0,0.0
285,0.0,0.053231578376619855,0.0,0.05947117730721266,0.17364311662961557,0.0,0.713654127686552,0.0
286,0.0,0.10514416198262315,0.2262361157298064,0.19578125399694787,0.11432787666559735,0.2429467379143944,0.0,0.11556385371063085
287,0.0,0.08040077632607937,0.518989138189507,0.0,0.13113495603986206,0.0,0.2694751294445517,0.0
288,0.19457825232666867,0.08484887724408832,0.13692543682247058,0.09479453318478732,0.06919493999852122,0.0,0.0,0.41965796042346387
289,0.22692744010666263,0.14843286656157118,0.1596896800750589,0.05527719694905885,0.08069879554595222,0.0,0.16583159084717658,0.16314242991451966
290,0.0,0.2667924390256649,0.0,0.29806481283087105,0.4351427481434641,0.0,0.0,0.0
291,0.0,0.0,0.25004821476786193,0.08655515126579837,0.1263612636126361,0.5370353703537035,0.0,0.0
292,0.0,0.18468880274994515,0.0,0.20633730710158707,0.0,0.0,0.0,0.6089738901484678
293,0.0,0.17548203893342343,0.0,0.09802568108918343,0.14310701036014478,0.0,0.2940770432675503,0.2893082263496981
294,0.2745231705385472,0.23942020774837236,0.19318297186045916,0.0,0.2928736498526213,0.0,0.0,0.0
295,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
296,0.0,0.08752905568524799,0.0,0.19557774347253212,0.42828388209626694,0.0,0.0,0.28860931874595286
297,0.0,0.0,0.3264730569078395,0.16951485647137823,0.16498237367802585,0.0,0.33902971294275647,0.0
298,0.19643049064588608,0.12848486191427633,0.27645772757569154,0.04784845284963893,0.20956087103665394,0.0,0.0,0.14121759597785327
299,0.32963291256845695,0.0,0.2319639014370623,0.0802951966512908,0.11722239938931758,0.0,0.24088558995387244,0.0
300,0.2518492435473984,0.05491139244558031,0.17722724545928037,0.06134789265898167,0.08956136201017109,0.0,0.184043677976945,0.18105918590164322
301,0.37319403266036044,0.08136853498988188,0.0,0.27271871617487886,0.0,0.0,0.27271871617487886,0.0
302,0.0,0.24199055996728513,0.0,0.3604743384128057,0.1315634951693796,0.0,0.0,0.2659716064505296
303,0.0,0.13416755328817953,0.0,0.09992943529400428,0.14588628788910785,0.6200167235287084,0.0,0.0
304,0.0,0.10117998237038224,0.0,0.22607981408766728,0.0,0.0,0.33911972113150096,0.33362048241044956
305,0.0,0.2667924390256649,0.0,0.29806481283087105,0.4351427481434641,0.0,0.0,0.0
306,0.0,0.3109147993105147,0.0,0.0,0.0,0.0,0.3473590248707215,0.34172617581876386
307,0.0,0.19902409928008685,0.0,0.11117646571506683,0.0,0.6897994350048464,0.0,0.0
308,0.0,0.17797113395353123,0.2872020944752752,0.09941610962605682,0.4354106619451366,0.0,0.0,0.0
309,0.0,0.30917327293318236,0.0,0.6908267270668177,0.0,0.0,0.0,0.0
310,0.0,0.047103800499755336,0.0,0.1578753753013778,0.0,0.3265149807369404,0.1578753753013778,0.31063046816054873
311,0.20148794220871838,0.13179293269062073,0.0,0.0,0.2149563875435258,0.30452154901999484,0.14724118853714038,0.0
312,0.0,0.09668536694342995,0.0,0.10801845024815433,0.1576953845868777,0.0,0.0,0.637600798221538
313,0.0,0.1071316150640259,0.0,0.3590675010387681,0.17473338285843792,0.0,0.3590675010387681,0.0
314,0.0,0.2655432582349694,0.0,0.29666920791818924,0.0,0.0,0.0,0.43778753384684144
315,0.0,0.07126720875683037,0.0,0.0796208742521365,0.11623796080659497,0.4940113334280287,0.2388626227564095,0.0
316,0.0,0.0,0.0,0.06208385133434518,0.0,0.3852020775971871,0.18625155400303556,0.3664625170654321
317,0.0,0.23270440251572327,0.0,0.0,0.0,0.0,0.0,0.7672955974842768
318,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
320,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
322,0.1380692440167684,0.060207244112230156,0.3886393535286814,0.06726450349534871,0.14729847155799625,0.0,0.0,0.1985211832889751
323,0.0,0.1828533154722036,0.0,0.2042866711319491,0.0,0.0,0.6128600133958473,0.0
324,0.0,0.2333427013658592,0.0,0.0,0.25372379292900904,0.0,0.0,0.5129335057051319
325,0.0,0.47231833910034604,0.0,0.527681660899654,0.0,0.0,0.0,0.0
326,0.0,0.2465837786794945,0.0,0.18365824785652213,0.0,0.5697579734639835,0.0,0.0
327,0.0,0.1671496066085829,0.0,0.2801133517341637,0.2726236899230897,0.0,0.2801133517341637,0.0
328,0.0,0.19588297814739986,0.31610745150770875,0.32826543041185147,0.15974413993303999,0.0,0.0,0.0
