ID,спортивные праздники,спортивные соревнования,"хоккей, футбол",международные мероприятия
0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,0.0,1.0,0.0,0.0
3,0.0,0.0,1.0,0.0
4,0.0,0.0,0.11054421768707483,0.8894557823129252
5,0.0,0.0,1.0,0.0
6,0.0,0.0,0.27158774373259054,0.7284122562674095
7,0.0,0.0,0.0,0.0
8,0.0,0.0,1.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,1.0,0.0
11,0.7213793103448276,0.0,0.27862068965517245,0.0
12,0.8381410256410257,0.0,0.16185897435897434,0.0
13,1.0,0.0,0.0,0.0
14,0.2837776358680908,0.6614201820617809,0.05480218207012843,0.0
15,0.31916291908030003,0.0,0.18490700665646448,0.4959300742632355
16,0.0,0.0,0.0,0.0
17,0.0,0.6679438058748404,0.3320561941251596,0.0
18,0.0,0.0,0.0,0.0
19,0.8381410256410257,0.0,0.16185897435897434,0.0
20,0.0,0.0,1.0,0.0
21,0.8381410256410257,0.0,0.16185897435897434,0.0
22,0.8381410256410257,0.0,0.16185897435897434,0.0
23,0.0,0.0,0.11054421768707483,0.8894557823129252
24,0.0,0.0,0.0,0.0
25,0.5627705627705628,0.43722943722943725,0.0,0.0
26,0.9119442022667829,0.0,0.08805579773321709,0.0
27,0.0,0.0,0.19908116385911176,0.8009188361408882
28,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
30,0.0,0.8894557823129252,0.11054421768707483,0.0
31,0.5627705627705628,0.43722943722943725,0.0,0.0
32,0.0,1.0,0.0,0.0
33,0.0,0.0,0.27158774373259054,0.7284122562674095
34,0.0,0.8009188361408882,0.19908116385911176,0.0
35,0.0,0.6679438058748404,0.3320561941251596,0.0
36,0.0,0.0,1.0,0.0
37,0.0,0.0,0.11054421768707483,0.8894557823129252
38,0.0,0.0,0.0,0.0
39,0.0,0.8009188361408882,0.19908116385911176,0.0
40,0.507603980797802,0.3943692466198308,0.09802677258236711,0.0
41,0.0,0.0,0.19908116385911176,0.8009188361408882
42,0.0,0.0,0.0,0.0
43,0.8381410256410257,0.0,0.16185897435897434,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,1.0,0.0
46,0.0,0.2859486057955167,0.14215418261344995,0.5718972115910333
47,0.0,0.0,1.0,0.0
48,0.0,0.8009188361408882,0.19908116385911176,0.0
49,0.0,0.0,1.0,0.0
50,0.0,0.0,1.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.11054421768707483,0.8894557823129252
54,0.0,0.0,1.0,0.0
55,0.0,0.0,1.0,0.0
56,0.0,0.0,0.19908116385911176,0.8009188361408882
57,0.0,0.0,1.0,0.0
58,0.0,0.0,0.11054421768707483,0.8894557823129252
59,0.7213793103448276,0.0,0.27862068965517245,0.0
60,0.7213793103448276,0.0,0.27862068965517245,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,1.0
63,0.0,0.0,0.0,1.0
64,0.0,0.0,0.0,0.0
65,0.0,1.0,0.0,0.0
66,0.0,0.0,0.0,1.0
67,0.0,0.7284122562674095,0.27158774373259054,0.0
68,0.0,0.0,1.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.8009188361408882,0.19908116385911176,0.0
71,0.0,0.0,1.0,0.0
72,1.0,0.0,0.0,0.0
73,0.31916291908030003,0.0,0.18490700665646448,0.4959300742632355
74,0.0,0.0,1.0,0.0
75,0.0,0.6679438058748404,0.3320561941251596,0.0
76,0.0,0.0,0.0,0.0
77,0.39156626506024095,0.608433734939759,0.0,0.0
78,0.0,0.0,0.11054421768707483,0.8894557823129252
79,1.0,0.0,0.0,0.0
80,0.0,1.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.8009188361408882,0.19908116385911176,0.0
83,0.189722768685558,0.44219999162864676,0.07327724526669735,0.2947999944190978
84,0.0,0.0,0.27158774373259054,0.7284122562674095
85,0.0,0.0,0.11054421768707483,0.8894557823129252
86,0.0,0.0,1.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,1.0,0.0
89,0.7753891771682728,0.0,0.22461082283172723,0.0
90,1.0,0.0,0.0,0.0
91,0.0,0.0,1.0,0.0
92,0.0,0.8009188361408882,0.19908116385911176,0.0
93,0.0,0.0,1.0,0.0
94,0.0,0.7284122562674095,0.27158774373259054,0.0
95,0.0,0.0,1.0,0.0
96,0.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0
98,0.0,0.0,1.0,0.0
99,0.0,0.0,1.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,1.0,0.0
