ID,быт,дороги,"заповедники, природоохранные мероприятия",здоровье,коррупция,криминал,мошенничество,психология,строительство,терроризм,туризм,благоустройство территории,"энергия, гэс, аэс","кража, наркотики","поликлиники, больницы, оздоровление",украинские новости,социология,"терроризм, организованная преступность",транспорт,убийства,"жкх, мобильная связь"
0,0.048394321811331235,0.14240168257127353,0.13803839981839328,0.07878503264674594,0.05722377082540783,0.08456618691945937,0.08123899268000523,0.0635330583779528,0.08786486796950921,0.11471246651574811,0.10324121986417333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03136575997274935,0.09229465003475672,0.13420002038479947,0.07659428826413832,0.07417676261453889,0.0,0.10530668266260766,0.058825161560614174,0.056947762787403086,0.0,0.0,0.22941813008639528,0.1408707816319971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.025811382903596657,0.0,0.0,0.0,0.030520619045361404,0.0451038499885375,0.0,0.04840816134300912,0.04686322002355138,0.0,0.11012856705534577,0.0,0.0,0.13766070881918216,0.2166463614203523,0.3388571294010638,0.0,0.0,0.0,0.0,0.0
3,0.0748504817741618,0.11012484674819208,0.16012582173414003,0.0,0.08850680523873174,0.0,0.0,0.05615157021006717,0.06794937352548022,0.08871168210271027,0.07984051389243926,0.2737389047740774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.32969727394358417,0.23969634679463922,0.04560200768377079,0.0,0.09789646018120077,0.09404479617407156,0.07354785341818416,0.0,0.0,0.1195152618045493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.028191867752744425,0.08295538097359278,0.08041357264292559,0.04589582285979378,0.1333416747289159,0.0,0.0,0.021149064160300577,0.051185235068812576,0.0,0.06014265120585478,0.0,0.12661610780179952,0.0,0.0,0.3701086228052601,0.0,0.0,0.0,0.0,0.0
6,0.07268373647568534,0.10693699159641061,0.0,0.0887458022469417,0.08594474151397434,0.0,0.06100667717303425,0.08178917159461735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5028928793993364,0.0,0.0,0.0,0.0
7,0.0,0.0,0.06066269560854702,0.10386919422957891,0.10059079779893015,0.0,0.0,0.0717953001872584,0.1544532462657332,0.0,0.09074128218111827,0.0,0.19103427827603842,0.2268532054527956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.02401579820987395,0.0,0.06850188681590787,0.039097261314643764,0.05679486689817766,0.0,0.0806300897275768,0.0360324943104922,0.0872063027195423,0.05692633649747899,0.10246740569546221,0.0,0.0,0.0,0.0,0.0,0.332326721174472,0.11600083663637228,0.0,0.0,0.0
9,0.02823776792946212,0.0,0.0,0.06895582120771672,0.10016907976825358,0.0,0.0,0.04236699539892925,0.05126857155987449,0.13386793685078338,0.06024057158285254,0.4130782051395601,0.0,0.0,0.0,0.0,0.0,0.0,0.10181505056256765,0.0,0.0
10,0.10511855026855832,0.15465717740661453,0.14991837809889097,0.08556549719793619,0.12429722341224447,0.0918441940913001,0.0,0.03942908259157645,0.0,0.24916989693287897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.07624008872496252,0.07383374258352798,0.10911266395449698,0.05240985334207806,0.011710626570940519,0.05668441584870145,0.0,0.0,0.22835721813334012,0.0,0.1665104715555605,0.0,0.0,0.0,0.0,0.22514091928639166,0.0,0.0
12,0.0,0.0,0.14388786925283126,0.08212360105209289,0.11929733270615803,0.0,0.0,0.07568607335057352,0.0,0.0,0.21523227109069348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3637728525476509,0.0,0.0
13,0.039892622758440376,0.11738518880644525,0.11378842814663774,0.0,0.047170953469564604,0.0,0.06696728804039827,0.05237185346749096,0.14485831810157074,0.09456029098296978,0.0,0.0,0.17916686712562696,0.0,0.0,0.0,0.0,0.0,0.14383818910085544,0.0,0.0
14,0.0936717198126867,0.0,0.06679654671879609,0.038123943198804126,0.0,0.0,0.07862282056409113,0.06148707762063537,0.0,0.11101833459281385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22622604030233767,0.0,0.32405351718983505,0.0
15,0.026527364811945394,0.0,0.0,0.0,0.03136723044738116,0.09270997121990472,0.04453118289742965,0.05472605077687783,0.0963263176150074,0.0,0.0,0.19402872548165773,0.0,0.1414792789970421,0.22265591448714822,0.0,0.0,0.0,0.09564796326560593,0.0,0.0
16,0.06160695088895735,0.0,0.1757256760732377,0.10029494071588607,0.07284701814121516,0.10765446708241012,0.10341888149228251,0.08087886885934914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29757319674666194,0.0,0.0,0.0
17,0.0,0.0,0.1483796084472689,0.12703087305064278,0.06151071528010339,0.09090150073817328,0.087325048250114,0.029268285402510738,0.0,0.0,0.22195116430237313,0.0,0.23363280452881377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.10187118095003328,0.0,0.05636116211543972,0.04093668703303878,0.0,0.05811667372231407,0.058435996105403704,0.0,0.08206289576530458,0.14771321237754828,0.0,0.0,0.0,0.0,0.4545021919309177,0.0,0.0,0.0,0.0,0.0
19,0.1279471395287863,0.0,0.0912380716416972,0.10414775109497391,0.03782271099234329,0.0,0.0,0.05399088085610323,0.0,0.1516410542563393,0.0682384744153527,0.0,0.14365994613758462,0.0,0.0,0.0,0.0,0.0,0.0,0.22131397107681955,0.0
