ID,внешняя политика,выборы,конфликты,россия и украина,украина,внутренняя политика,сша и россия,депутаты,"миграция, беженцы, визовый режим",государственные организации,"ДНР, ЛНР",санкции,"строительство, обманутые дольщики"
0,0.1556730235883882,0.19828271297165975,0.1423469281839347,0.2244365677501302,0.2792607675058872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.059232623569743424,0.0,0.13409103127138236,0.13347687387624627,0.4650391084518154,0.20816036283081263,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.1634744674049645,0.11735812932379745,0.0,0.09209477629378915,0.0,0.2872479927258662,0.205177137661333,0.13464749659024977,0.0,0.0,0.0,0.0
3,0.0936030796836007,0.0,0.0855903646912302,0.0,0.0335827843139636,0.0,0.0,0.14963757636493988,0.0,0.6375861949462657,0.0,0.0,0.0
4,0.0,0.0,0.0,0.2546839587720244,0.12675873367890067,0.0,0.39536652647466647,0.0,0.0,0.0,0.22319078107440848,0.0,0.0
5,0.07380415913959285,0.0,0.0,0.15960715396752442,0.052958709611616236,0.3690207956979642,0.0,0.0,0.0,0.2513619912725264,0.09324719031077591,0.0,0.0
6,0.1665118949774495,0.0,0.0,0.3600947422058341,0.2987045444251957,0.0,0.0,0.0,0.1746888183915207,0.0,0.0,0.0,0.0
7,0.0,0.3091524774139011,0.0,0.1749651290885422,0.2612456431276248,0.0,0.0,0.0,0.254636750369932,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.4244288224956063,0.0,0.0,0.0,0.0,0.0,0.0,0.5755711775043937,0.0
9,0.0,0.34871779756727117,0.06258602495249177,0.1973571584391458,0.04911330813065766,0.3422257109104337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.3030715724045365,0.0,0.0,0.03414760617321343,0.0,0.0,0.0,0.19970251824513213,0.32415481222398257,0.0,0.1389234909531354,0.0
11,0.0,0.426658928148006,0.0,0.0,0.06009051316282985,0.0,0.0,0.0,0.0,0.28521221827285187,0.1058045325850902,0.12223380783122222,0.0
12,0.11233199746868747,0.0,0.0,0.08097551964767348,0.04030231970250619,0.2808299936717187,0.1257048543101979,0.0,0.0,0.0,0.0,0.0819814267240421,0.27787388847517425
13,0.11210995736979926,0.0,0.1025129960385324,0.08081546006718658,0.08044531292184068,0.0,0.0,0.1792234012374342,0.11761535706206619,0.0,0.0,0.3272775153031407,0.0
14,0.17254903178566958,0.0,0.0788891487736038,0.06219175225403735,0.06190690453378985,0.43137257946417396,0.19309058318872552,0.0,0.0,0.0,0.0,0.0,0.0
15,0.1775052151245189,0.33913598011595075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22426734168958032,0.25909146306994996,0.0
16,0.0,0.24327416717086697,0.0,0.0,0.27410127537725165,0.0,0.0,0.0,0.0,0.0,0.4826245574518813,0.0,0.0
17,0.09378955066523564,0.05973047264588178,0.08576087317638278,0.13521806384251764,0.033649686116534926,0.0,0.20990994672695598,0.14993567623353998,0.0,0.0,0.0,0.0,0.23200573059295132
18,0.0,0.04827096041119724,0.20792199679064335,0.16391396679507775,0.0815816079010616,0.0,0.3392758931758435,0.0,0.15903557492617665,0.0,0.0,0.0,0.0
19,0.10909875043421773,0.06948023401637173,0.0,0.0,0.0782845995482173,0.0,0.0,0.0,0.0,0.7431364160011933,0.0,0.0,0.0
20,0.0,0.052299300752920254,0.0,0.11839534955722437,0.0589265403903132,0.0,0.18379468550311975,0.0,0.0,0.27968756489605184,0.10375506439692245,0.0,0.20314149450344815
21,0.0,0.0628024740720192,0.18034329130408625,0.0,0.10614097526370267,0.4930662326079805,0.0,0.15764702675221146,0.0,0.0,0.0,0.0,0.0
22,0.07174291075230776,0.04568992961190332,0.0,0.05171651541960835,0.07721946882500301,0.0,0.4817024007654949,0.0,0.0,0.0,0.27192877462568266,0.0,0.0
23,0.0568785920684606,0.18111746796867537,0.0,0.0,0.061220469325594995,0.0,0.25459941211596654,0.09092836146998805,0.05967173721467965,0.0,0.07186273729079701,0.08302154742911952,0.14069967511671833
24,0.12422060336512655,0.31644272943961776,0.11358693303815073,0.0895455269656587,0.04456769739054158,0.0,0.0,0.0,0.1303207222803783,0.0,0.0,0.18131578752052635,0.0
25,0.10516716421362325,0.0669763782932289,0.09616452758833255,0.0,0.037731730672063306,0.5258358210681163,0.0,0.16812437816463582,0.0,0.0,0.0,0.0,0.0
26,0.30155026620732855,0.0,0.0,0.0,0.2163795803319762,0.0,0.0,0.4820701534606953,0.0,0.0,0.0,0.0,0.0
27,0.07817149259366006,0.0,0.0,0.0,0.05609252140308432,0.3908574629683003,0.34991049065733554,0.12496803237761984,0.0,0.0,0.0,0.0,0.0
28,0.0,0.11925513681135891,0.0,0.04499503628158633,0.08957790429189096,0.0,0.27939774910089804,0.09978491039317787,0.0,0.21258524388111807,0.0,0.0,0.15440401923996994
29,0.0,0.056943212498378734,0.4087946578191003,0.0,0.0,0.0,0.20011471820858814,0.0,0.0,0.0,0.11296798608549331,0.0,0.22117942538843952
30,0.0,0.0,0.16799306054228402,0.06621812355731134,0.03295741722089083,0.0,0.0,0.0,0.1927420382114598,0.3128566417345435,0.0,0.0,0.22723271873351045
31,0.0,0.08264901240757384,0.0,0.1871011385177592,0.1396831400537164,0.0,0.29045224360375954,0.0,0.13614948918926228,0.0,0.16396497622792877,0.0,0.0
32,0.26138542579177787,0.0,0.0,0.09421100469488926,0.04688975195501358,0.0,0.0,0.0,0.27422131723690985,0.0,0.0,0.0,0.32329250032140944
