,lvl1_политика,lvl2_topic_subj_29,lvl2_topic_subj_16,lvl2_topic_subj_33,lvl2_topic_subj_50,lvl2_topic_subj_22,lvl2_topic_subj_32,lvl1_спорт,lvl2_topic_subj_13,lvl2_topic_subj_48,lvl2_topic_subj_1,lvl1_бизнес,lvl2_topic_subj_23,lvl2_topic_subj_12,lvl2_topic_subj_67,lvl2_topic_subj_62,lvl2_topic_subj_17,lvl2_topic_subj_66,lvl2_topic_subj_61,lvl2_topic_subj_30,lvl2_topic_subj_63,lvl2_topic_subj_21,lvl2_topic_subj_5,lvl2_topic_subj_38,lvl2_topic_subj_42,lvl2_topic_subj_15,lvl1_медиа,lvl2_topic_subj_39,lvl2_topic_subj_20,lvl2_topic_subj_37,lvl2_topic_subj_31,lvl2_topic_subj_19,lvl2_topic_subj_65,lvl2_topic_subj_46,lvl2_topic_subj_35,lvl2_topic_subj_43,lvl2_topic_subj_59,lvl2_topic_subj_52,lvl1_наука_и_техника,lvl1_силовые_структуры,lvl2_topic_subj_49,lvl2_topic_subj_24,lvl2_topic_subj_53,lvl2_topic_subj_54,lvl2_topic_subj_9,lvl2_topic_subj_2,lvl2_topic_subj_51,lvl2_topic_subj_58,lvl2_topic_subj_57,lvl2_topic_subj_26,lvl1_происшествия,lvl2_topic_subj_6,lvl2_topic_subj_34,lvl2_topic_subj_14,lvl2_topic_subj_40,lvl2_topic_subj_4,lvl2_topic_subj_7,lvl2_topic_subj_36,lvl1_культура,lvl2_topic_subj_44,lvl2_topic_subj_8,lvl2_topic_subj_41,lvl2_topic_subj_3,lvl2_topic_subj_47,lvl2_topic_subj_69,lvl2_topic_subj_64,lvl2_topic_subj_18,lvl2_topic_subj_10,lvl1_экономика_и_финансы,lvl2_topic_subj_0,lvl2_topic_subj_56,lvl2_topic_subj_28,lvl2_topic_subj_55,lvl2_topic_subj_11,lvl2_topic_subj_27,lvl2_topic_subj_45,lvl2_topic_subj_68,lvl2_topic_subj_60,lvl2_topic_subj_25,lvl1_общество_и_путешествия
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
