ID,бизнес,культура,медиа,наука_и_техника,общество_и_путешествия,политика,происшествия,силовые_структуры,спорт,экономика_и_финансы
73,34.0,206.0,130.0,103.0,1256.0,450.0,5.0,59.0,126.0,404.0
74,40.0,412.0,196.0,138.0,1950.0,832.0,3.0,117.0,241.0,779.0
75,42.0,492.0,217.0,141.0,1976.0,743.0,3.0,63.0,263.0,765.0
76,57.0,588.0,167.0,122.0,1757.0,716.0,5.0,83.0,234.0,649.0
77,48.0,540.0,195.0,140.0,1775.0,680.0,4.0,83.0,253.0,714.0
78,42.0,553.0,207.0,138.0,1950.0,784.0,8.0,80.0,221.0,771.0
79,44.0,583.0,164.0,141.0,2009.0,770.0,11.0,103.0,225.0,664.0
80,34.0,484.0,196.0,125.0,1783.0,742.0,5.0,81.0,247.0,575.0
81,12.0,243.0,161.0,114.0,1069.0,454.0,4.0,63.0,204.0,338.0
82,6.0,139.0,88.0,54.0,606.0,259.0,12.0,37.0,112.0,193.0
83,6.0,84.0,55.0,36.0,423.0,150.0,3.0,30.0,53.0,133.0
84,16.0,106.0,38.0,31.0,545.0,173.0,6.0,25.0,60.0,176.0
85,24.0,221.0,103.0,109.0,1075.0,404.0,11.0,57.0,87.0,397.0
86,26.0,446.0,206.0,155.0,1945.0,730.0,7.0,121.0,211.0,858.0
87,45.0,534.0,172.0,171.0,1948.0,706.0,8.0,78.0,230.0,791.0
88,48.0,517.0,124.0,171.0,1789.0,679.0,4.0,70.0,221.0,634.0
89,46.0,551.0,140.0,168.0,1926.0,735.0,3.0,84.0,204.0,762.0
90,50.0,581.0,163.0,163.0,1939.0,800.0,1.0,77.0,213.0,726.0
91,47.0,486.0,122.0,163.0,1939.0,861.0,14.0,90.0,240.0,708.0
92,21.0,426.0,219.0,166.0,1896.0,830.0,11.0,164.0,237.0,654.0
93,9.0,201.0,184.0,102.0,1257.0,574.0,6.0,52.0,208.0,378.0
94,6.0,127.0,133.0,57.0,641.0,277.0,11.0,43.0,153.0,232.0
95,13.0,92.0,65.0,31.0,460.0,247.0,7.0,8.0,78.0,198.0
96,7.0,114.0,51.0,41.0,632.0,281.0,3.0,21.0,55.0,243.0
97,21.0,260.0,112.0,105.0,1273.0,473.0,7.0,25.0,102.0,509.0
98,24.0,423.0,212.0,162.0,1878.0,775.0,10.0,65.0,246.0,873.0
99,42.0,391.0,148.0,153.0,2027.0,768.0,12.0,60.0,210.0,806.0
100,49.0,522.0,135.0,150.0,1801.0,662.0,1.0,57.0,226.0,755.0
101,35.0,519.0,129.0,144.0,1775.0,646.0,3.0,77.0,189.0,748.0
102,27.0,483.0,238.0,132.0,1953.0,774.0,9.0,90.0,218.0,827.0
103,41.0,546.0,201.0,136.0,2030.0,793.0,11.0,64.0,215.0,677.0
104,22.0,420.0,175.0,141.0,1924.0,864.0,8.0,63.0,337.0,643.0
105,10.0,233.0,117.0,85.0,1267.0,536.0,3.0,40.0,277.0,318.0
106,6.0,136.0,91.0,56.0,680.0,316.0,16.0,33.0,163.0,206.0
107,8.0,96.0,48.0,39.0,472.0,226.0,4.0,38.0,72.0,154.0
108,19.0,102.0,60.0,56.0,669.0,265.0,7.0,35.0,68.0,194.0
109,21.0,237.0,121.0,142.0,1222.0,526.0,12.0,75.0,123.0,476.0
110,25.0,373.0,161.0,166.0,1970.0,749.0,20.0,117.0,252.0,851.0
111,39.0,455.0,151.0,202.0,1966.0,721.0,11.0,113.0,237.0,802.0
112,45.0,498.0,170.0,196.0,1987.0,721.0,2.0,102.0,213.0,748.0
113,39.0,512.0,135.0,164.0,2118.0,706.0,1.0,73.0,207.0,760.0
114,47.0,596.0,162.0,152.0,1815.0,668.0,2.0,72.0,175.0,679.0
115,34.0,533.0,172.0,167.0,1613.0,693.0,4.0,88.0,205.0,601.0
116,25.0,445.0,162.0,173.0,1941.0,808.0,4.0,89.0,242.0,581.0
117,10.0,237.0,103.0,89.0,1263.0,538.0,9.0,74.0,170.0,316.0
118,7.0,155.0,62.0,52.0,728.0,299.0,13.0,43.0,90.0,216.0
119,4.0,103.0,45.0,47.0,514.0,211.0,7.0,22.0,56.0,178.0
120,29.0,117.0,40.0,52.0,691.0,247.0,3.0,40.0,71.0,200.0
121,25.0,243.0,90.0,109.0,1117.0,387.0,6.0,47.0,107.0,469.0
122,41.0,425.0,143.0,167.0,1922.0,742.0,6.0,89.0,210.0,904.0
123,59.0,480.0,156.0,144.0,2006.0,716.0,10.0,90.0,216.0,773.0
124,38.0,589.0,154.0,131.0,1724.0,659.0,2.0,84.0,211.0,642.0
125,43.0,540.0,260.0,148.0,1938.0,734.0,2.0,112.0,218.0,700.0
126,42.0,566.0,173.0,147.0,1866.0,858.0,7.0,99.0,228.0,715.0
127,53.0,678.0,200.0,142.0,1818.0,881.0,12.0,87.0,258.0,559.0
128,27.0,494.0,201.0,126.0,1679.0,832.0,5.0,75.0,345.0,492.0
129,15.0,281.0,142.0,87.0,988.0,515.0,6.0,41.0,232.0,236.0
130,4.0,160.0,79.0,36.0,522.0,291.0,14.0,29.0,130.0,130.0
