ID,"ДНР, ЛНР",автопром,армии государств,банки,благоустройство территории,быт,внешняя политика,внутренняя политика,выборы,государственные организации,депутаты,дороги,европа,"жкх, мобильная связь","заповедники, природоохранные мероприятия",здоровье,знаменитости,"история, археология","история, военные конфликты",кино,конфликты,"концерты, фестивали",коррупция,космос,"кража, наркотики",криминал,культурные мероприятия,курсы валют,литература,международные мероприятия,"миграция, беженцы, визовый режим",москва,мошенничество,"налоги, льготы, жкх",образование,пенсии,поздравления,"поликлиники, больницы, оздоровление",полиция,"прокуратура, проверки",психология,религия,россия и украина,санкции,сельское хозяйство,социология,спортивные праздники,спортивные соревнования,строительство,"строительство, обманутые дольщики",сша и россия,"театр, живопись","телевидение, радио","телефоны, планшеты",терроризм,"терроризм, организованная преступность",транспорт,туризм,убийства,украина,украинские новости,"хоккей, футбол",чрезвычайные происшествия,школа,экономические мероприятия,"экспорт продуктов, нефть, газ","энергия, гэс, аэс"
245,0.008045227223309415,0.005870841487279843,0.006958034355294629,0.012611437268971515,0.0076103500761035,0.009349858664927158,0.008045227223309415,0.0034790171776473144,0.042400521852576645,0.0076103500761035,0.012611437268971515,0.02826701456838443,0.011741682974559686,0.004131332898456186,0.02674494455316373,0.03870406610132637,0.006523157208088715,0.004348771472059143,0.004131332898456186,0.0060882800608828,0.005218525766470972,0.028701891715590344,0.028049575994781473,0.0023918243096325287,0.009349858664927158,0.03522504892367906,0.02761469884757556,0.0213089802130898,0.0019569471624266144,0.008914981517721243,0.008045227223309415,0.008045227223309415,0.04022613611654707,0.04022613611654707,0.014785823005001086,0.020874103065883887,0.015655577299412915,0.008262665796912372,0.01304631441617743,0.010002174385736029,0.08306153511632963,0.0045662100456621,0.006740595781691672,0.0004348771472059143,0.012828875842574472,0.0017395085888236572,0.0167427701674277,0.005870841487279843,0.028049575994781473,0.010002174385736029,0.0036964557512502716,0.006958034355294629,0.01761252446183953,0.010437051532941943,0.02674494455316373,0.009567297238530115,0.015655577299412915,0.018047401609045444,0.005870841487279843,0.02761469884757556,0.004131332898456186,0.02370080452272233,0.00021743857360295715,0.011524244400956729,0.007175472928897586,0.029354207436399216,0.008480104370515329
246,0.010686044026501388,0.007052789057490917,0.010899764907031416,0.012182090190211584,0.0115409275486215,0.011113485787561444,0.006411626415900834,0.0036332549690104724,0.03547766616798461,0.008976276982261167,0.014105578114981834,0.024364180380423168,0.011968369309681556,0.0038469758495405003,0.028638597991023723,0.037187433212224834,0.008335114340671083,0.00577046377431075,0.006411626415900834,0.005556742893780722,0.0034195340884804444,0.032271852960034195,0.034409061765334474,0.0019234879247702502,0.011113485787561444,0.030562085915793975,0.027569993588373583,0.015174182517631973,0.0008548835221201111,0.007907672579611029,0.009403718743321222,0.012182090190211584,0.03633254969010472,0.03911092113699508,0.013891857234451806,0.023081855097243,0.0192348792477025,0.009189997862791194,0.014105578114981834,0.008121393460141057,0.08356486428724086,0.005556742893780722,0.009403718743321222,0.0010686044026501388,0.013678136353921778,0.0017097670442402222,0.011327206668091472,0.005984184654840778,0.03291301560162428,0.006625347296430861,0.006411626415900834,0.005556742893780722,0.016883949561872193,0.011968369309681556,0.015601624278692027,0.007052789057490917,0.017525112203462277,0.015815345159222057,0.006625347296430861,0.03013464415473392,0.003205813207950417,0.024791622141483224,0.00042744176106005556,0.013036973712331694,0.007266509938020945,0.02521906390254328,0.006625347296430861
247,0.014346895074946468,0.006638115631691649,0.010920770877944325,0.007922912205567453,0.006852248394004282,0.011349036402569594,0.006209850107066381,0.006423982869379015,0.039400428265524624,0.006209850107066381,0.012633832976445396,0.01734475374732334,0.011563169164882228,0.006209850107066381,0.027194860813704497,0.03747323340471092,0.007280513918629551,0.004496788008565311,0.008779443254817988,0.012205567451820129,0.007066381156316916,0.025267665952890792,0.03511777301927195,0.003854389721627409,0.015845824411134905,0.031049250535331904,0.028265524625267664,0.018843683083511777,0.003426124197002141,0.006638115631691649,0.009421841541755889,0.008779443254817988,0.037259100642398284,0.043254817987152035,0.006852248394004282,0.020985010706638114,0.017130620985010708,0.008565310492505354,0.01284796573875803,0.008565310492505354,0.0993576017130621,0.004496788008565311,0.012633832976445396,0.00042826552462526765,0.006209850107066381,0.00042826552462526765,0.009635974304068522,0.006852248394004282,0.024197002141327622,0.007494646680942184,0.005781584582441114,0.0029978586723768737,0.018843683083511777,0.013490364025695931,0.009421841541755889,0.019271948608137045,0.014561027837259101,0.010706638115631691,0.005139186295503212,0.026980728051391862,0.014561027837259101,0.02291220556745182,0.002355460385438972,0.008993576017130621,0.010920770877944325,0.024197002141327622,0.006638115631691649
248,0.010112112552209276,0.006375027478566718,0.017806111233238074,0.009452626950978238,0.005275884809848318,0.015827654429544955,0.009672455484721917,0.002637942404924159,0.03099582325785887,0.005935370411079358,0.015168168828313915,0.013629369092108155,0.016267311497032314,0.003517256539898879,0.018905253901956475,0.03803033633765663,0.006594856012310398,0.009672455484721917,0.005935370411079358,0.020883710705649594,0.009672455484721917,0.021543196306880633,0.03011650912288415,0.003956913607386239,0.005275884809848318,0.02659925258298527,0.023961310178061114,0.018025939766981754,0.0008793141349747197,0.005715541877335678,0.012530226423389756,0.006155198944823038,0.024620795779292153,0.03825016487140031,0.008133655748516157,0.017586282699494395,0.013849197625851836,0.008793141349747197,0.010771598153440316,0.007034513079797758,0.12859969224005277,0.004396570674873599,0.017586282699494395,0.002857770938667839,0.007913827214772478,0.0013189712024620796,0.009892284018465597,0.005056056276104638,0.021543196306880633,0.003517256539898879,0.003956913607386239,0.002637942404924159,0.021103539239393274,0.015607825895801276,0.008573312816003518,0.017366454165750715,0.011431083754671357,0.008353484282259837,0.003956913607386239,0.036711365135194546,0.010771598153440316,0.043086392613761265,0.003517256539898879,0.010112112552209276,0.009232798417234556,0.026159595515497912,0.008573312816003518
249,0.014094190443451358,0.007906497078033689,0.02234444826400825,0.009281540048126504,0.0024063251976624267,0.013750429700928154,0.013062908215881746,0.00446888965280165,0.01615675489859058,0.0030938466827088347,0.006531454107940873,0.006187693365417669,0.010312822275696116,0.006875214850464077,0.015469233413544173,0.028875902371949123,0.005500171880371262,0.01065658301821932,0.005843932622894466,0.020281883808869028,0.010312822275696116,0.014094190443451358,0.031625988312134756,0.0048126503953248535,0.0075627363355104844,0.026469577174286697,0.015469233413544173,0.022688209006531453,0.002062564455139223,0.007906497078033689,0.013406668958404951,0.002750085940185631,0.014781711928497766,0.03746992093502922,0.008594018563080097,0.012031625988312134,0.012375386730835339,0.0037813681677552422,0.012375386730835339,0.00446888965280165,0.15881746304572017,0.006875214850464077,0.020625644551392232,0.0037813681677552422,0.007906497078033689,0.0010312822275696115,0.0048126503953248535,0.008250257820556892,0.019938123066345823,0.0034376074252320385,0.0037813681677552422,0.0024063251976624267,0.026469577174286697,0.01684427638363699,0.015469233413544173,0.009625300790649707,0.011000343760742524,0.012719147473358542,0.004125128910278446,0.037813681677552426,0.011344104503265727,0.06531454107940873,0.005156411137848058,0.008594018563080097,0.008250257820556892,0.029563423856995532,0.007906497078033689
