,lvl1_медиа,lvl1_наука_и_техника,lvl1_общество_и_путешествия,lvl1_политика,lvl1_происшествия,lvl1_экономика_и_финансы,,lvl1_культура,lvl1_бизнес,lvl1_спорт,lvl1_силовые_структуры
103,270,208,3079,1233,11.0,1070,460,820,59.0,374,113
104,183,145,1989,905,8.0,653,423,432,22.0,366,65
105,117,85,1267,536,3.0,318,330,233,10.0,277,40
106,91,56,680,316,16.0,206,175,136,6.0,163,33
107,48,39,472,226,4.0,154,73,96,8.0,72,38
108,60,56,669,265,7.0,194,86,102,19.0,68,35
109,121,142,1222,526,12.0,476,239,237,21.0,123,75
110,206,234,2645,1006,20.0,1170,418,513,38.0,335,159
111,281,371,3871,1399,11.0,1608,549,951,90.0,441,211
112,361,421,4356,1567,17.0,1682,633,1144,106.0,474,209
113,339,344,4476,1586,18.0,1580,615,1073,78.0,457,167
114,382,366,4156,1661,13.0,1566,1668,1292,108.0,455,171
115,317,317,3042,1290,18.0,1163,1364,940,64.0,400,167
116,162,173,1941,808,4.0,581,368,445,25.0,242,89
117,103,89,1263,538,9.0,316,322,237,10.0,170,74
118,62,52,728,299,13.0,216,189,155,7.0,90,43
119,45,47,514,211,7.0,178,86,103,4.0,56,22
120,40,52,691,247,3.0,200,88,117,29.0,71,40
121,90,109,1117,387,6.0,469,202,243,25.0,107,47
122,179,195,2296,910,6.0,1075,413,542,49.0,252,104
123,306,289,3705,1360,11.0,1499,1101,1033,104.0,420,168
124,416,357,4520,1687,22.0,1717,1931,1428,97.0,499,251
125,458,295,3934,1548,20.0,1382,585,1155,101.0,433,214
126,319,264,3597,1622,10.0,1273,578,1131,92.0,463,189
127,313,216,2727,1316,12.0,864,486,1021,71.0,405,133
128,201,126,1679,832,5.0,492,465,494,27.0,345,75
129,142,87,988,515,6.0,236,316,281,15.0,232,41
130,79,36,522,291,14.0,130,166,160,4.0,130,29
131,47,20,291,164,4.0,82,67,98,1.0,37,22
132,23,19,214,116,7.0,64,59,54,2.0,32,11
133,38,34,349,198,10.0,142,108,139,4.0,59,27
134,98,47,915,437,6.0,287,249,273,4.0,134,50
135,173,126,1520,773,6.0,482,993,478,12.0,313,88
136,198,171,1994,894,10.0,493,1838,588,19.0,375,108
137,184,123,1554,801,9.0,397,462,471,20.0,278,84
138,194,95,1247,723,9.0,310,361,491,8.0,287,84
139,141,81,1040,563,7.0,247,328,328,6.0,317,72
140,121,66,958,564,9.0,206,348,269,4.0,301,51
141,87,45,695,419,10.0,133,255,187,5.0,258,32
142,74,27,440,253,12.0,75,120,142,1.0,134,32
143,33,26,268,202,6.0,55,47,61,0.0,69,14
144,34,18,277,127,4.0,72,51,53,1.0,41,8
145,50,43,436,192,2.0,128,105,115,6.0,57,23
146,92,62,888,414,5.0,264,245,206,6.0,142,39
147,163,104,1395,659,14.0,416,661,403,11.0,259,78
148,203,164,1723,727,14.0,502,1834,533,9.0,378,94
149,160,130,1490,673,10.0,369,774,398,9.0,272,78
150,181,73,1180,639,8.0,316,342,333,4.0,271,91
