ID,бизнес,культура,медиа,наука_и_техника,общество_и_путешествия,политика,происшествия,силовые_структуры,спорт,экономика_и_финансы
175,0.008512449457331346,0.12938923175143646,0.04703128325175569,0.0429878697595233,0.3805064907427112,0.17961268354969143,0.00021281123643328368,0.026388593317727176,0.04745690572462226,0.13790168120876783
176,0.0056457304163726185,0.09785932721712538,0.04069630675135262,0.03387438249823571,0.42836979534227243,0.19054340155257588,0.0,0.017642907551164433,0.051046812514702423,0.13432133615619854
177,0.0029940119760479044,0.09206586826347306,0.045284431137724554,0.033682634730538924,0.41392215568862273,0.17964071856287425,0.00037425149700598805,0.030688622754491017,0.06848802395209581,0.13285928143712575
178,0.003787878787878788,0.08603896103896104,0.05303030303030303,0.03192640692640693,0.4015151515151515,0.1856060606060606,0.003246753246753247,0.02922077922077922,0.07521645021645022,0.13041125541125542
179,0.0035587188612099642,0.07562277580071175,0.04893238434163701,0.03202846975088968,0.3994661921708185,0.21619217081850534,0.008896797153024912,0.030249110320284697,0.04448398576512456,0.14056939501779359
180,0.0035310734463276836,0.09110169491525423,0.0423728813559322,0.03954802259887006,0.4096045197740113,0.18008474576271186,0.0035310734463276836,0.016242937853107344,0.05155367231638418,0.16242937853107345
181,0.00944424264438794,0.09662186705412278,0.041409371594624045,0.04794769342535416,0.3966581910642935,0.16636396658191063,0.0025426807119505995,0.020341445695604796,0.05303305484925536,0.16563748637849618
182,0.007030251384746485,0.10055389859394973,0.030890498508734553,0.03706859821048147,0.4024286322965488,0.17064337452066466,0.0017043033659991478,0.018747337025990626,0.0524073285044738,0.17852577758841073
183,0.0074309978768577496,0.09660297239915075,0.03248407643312102,0.04522292993630573,0.4123142250530786,0.1535031847133758,0.005307855626326964,0.020806794055201697,0.04543524416135881,0.18089171974522292
184,0.009699769053117783,0.11339491916859122,0.03279445727482679,0.042263279445727484,0.4161662817551963,0.1489607390300231,0.0013856812933025404,0.021247113163972285,0.04595842956120092,0.16812933025404156
185,0.009082440614811364,0.11644154634373545,0.03306939916162087,0.03586399627387052,0.4280391243595715,0.14578481602235677,0.0009315323707498836,0.019329296693060084,0.051467163483931065,0.1599906846762925
186,0.009865659109991603,0.11209068010075567,0.05247691015952981,0.035684298908480266,0.40134340890008396,0.15512174643157012,0.0041981528127623844,0.019731318219983206,0.04974811083123426,0.15973971452560873
187,0.010219288907813498,0.11049606131573345,0.049393229721098574,0.03896103896103896,0.4079199489035555,0.1622312114115393,0.0029806259314456036,0.021715988929103685,0.04854162231211412,0.14754098360655737
188,0.006149791346365034,0.10981770261366132,0.04810015374478366,0.03184713375796178,0.39292773995168023,0.1970129584889084,0.000658906215681968,0.019547551065231716,0.059740830221831756,0.13419723259389413
189,0.0042583392476933995,0.08836053938963805,0.06422995031937544,0.039389638041163945,0.4205110007097232,0.17530163236337828,0.00319375443577005,0.021646557842441447,0.07381121362668559,0.10929737402413059
190,0.003703703703703704,0.0728395061728395,0.06419753086419754,0.033950617283950615,0.4067901234567901,0.17962962962962964,0.013580246913580247,0.016049382716049384,0.07901234567901234,0.13024691358024693
