ID,lvl1_наука_и_техника,lvl1_политика,lvl1_силовые_структуры,lvl1_экономика_и_финансы,lvl1_медиа,lvl1_спорт,lvl1_происшествия,lvl1_бизнес,lvl1_общество_и_путешествия,lvl1_культура
0,0.08024011719893322,0.22329769065731325,0.0,0.1486051566891395,0.03570087862735159,0.0,0.0,0.0,0.36574504246283646,0.14641111436442591
1,0.050020392715193714,0.2760033746871542,0.0,0.08187215029406503,0.031332780146917476,0.10760483160012087,0.052282232866516794,0.0,0.37365719115454793,0.027227046535484085
2,0.18689980705953405,0.1541682335897132,0.0,0.017969659734194277,0.04450501801977884,0.0038532724752642477,0.0,0.0,0.5124365434481203,0.08016746567339522
3,0.0,0.21525712851155368,0.0,0.3205048119711365,0.055982496454277504,0.0552381203774615,0.0,0.018539235081292692,0.2949170159786651,0.03956119162561302
4,0.1107758998172672,0.19725361302881506,0.0,0.18152186083227573,0.03713521549044661,0.001977935126282266,0.0,0.0,0.4327296428158103,0.03860583288910287
5,0.0,0.1540031445717669,0.007201385952133946,0.12991664646067372,0.03726738151574403,0.0,0.0,0.0,0.4425117064350539,0.2290997350646275
6,0.021727464381643267,0.20216837650602115,0.005267877502408975,0.12014465857877368,0.021577197425827477,0.02160047757143485,0.0,0.0,0.47343175450319963,0.134082193530691
7,0.0,0.2207474868440287,0.0,0.17489882357424985,0.10639349588044618,0.016014327301712344,0.0,0.0,0.36185987263369196,0.120085993765871
8,0.050073840182010484,0.17883191566876244,0.03144353270532563,0.15183255610195667,0.028909003220653463,0.044283195117182816,0.0,0.0,0.28535890158977706,0.2292670554143313
9,0.0400554614363384,0.12061687916563264,0.003971134112708953,0.09543885216864557,0.02879664430132122,0.13921587123404872,0.0,0.10869196603625275,0.3543220151086684,0.10889117643638331
10,0.0,0.21554586647302618,0.0,0.2364160703732118,0.06834997343748134,0.06525615572654854,0.0,0.0,0.3354756373458552,0.07895629664387689
11,0.0,0.1935111635015572,0.0049386034650986755,0.24768320885063275,0.060886004427388,0.15212874613971722,0.0,0.0,0.21118762867766616,0.12966464493794
12,0.02378730211987989,0.17141483430514906,0.04872605668405773,0.12816630964188774,0.1822268142624092,0.043640876191445244,0.0,0.0,0.38773644186738904,0.014301364927782265
13,0.11994932881274671,0.2905073654695984,0.04601041631212301,0.028952281600678264,0.042798853825044184,0.006043249144610773,0.0,0.03072072791551066,0.3710498753985077,0.06396790152118025
14,0.11315294242699124,0.161545414427196,0.03330227063526131,0.0519779360322506,0.04012072622244698,0.0,0.0,0.02227845787881342,0.43084884664521494,0.1467734057318255
15,0.0381593702430064,0.10877052254676918,0.026630674483917035,0.16615767661041775,0.02253489292763376,0.004637675188411319,0.0,0.023577025741091825,0.5155746131027908,0.09395754915596197
16,0.0,0.055819003196851694,0.0,0.15014644101210178,0.0,0.2931410974845924,0.0,0.0,0.45951666632247207,0.041376791983981955
17,0.0,0.29021120491689584,0.10719544429909983,0.07955248682630534,0.02492983767606039,0.0015598240026793307,0.0,0.0,0.4177681232256213,0.07878307905333794
18,0.013308789540111079,0.41404494938089714,0.025533170147281747,0.007150142118248739,0.028118791391876837,0.0,0.0,0.0,0.3968716086531437,0.11497254876844076
19,0.03210908850507909,0.20835173834236312,0.006381278424413473,0.15980735185231779,0.18464879201628415,0.09202345353203922,0.0,0.0,0.3060618954961043,0.010616401831399024
20,0.0,0.19074873160246766,0.07027806895963314,0.10070942623075496,0.1957457209077536,0.06508040427388306,0.0,0.0,0.3273617865477696,0.05007586147773791
21,0.02598633589062049,0.03463710266265417,0.0,0.17758703217776195,0.12323307133720608,0.018584316180803258,0.0,0.0,0.4623548463032624,0.15761729544769165
22,0.10972630945746725,0.3051486807776559,0.005599240238813902,0.18027143295379003,0.030699784342643997,0.0545054177530495,0.0,0.014322525766878199,0.23772555426718556,0.0620010544425155
23,0.013007029876495959,0.06210570081351683,0.01550496896733866,0.14850815184523525,0.06783266502433224,0.21652300958048684,0.0,0.027547324183673182,0.29135018826327364,0.15762096144564736
24,0.0,0.3779910684107033,0.0,0.13771515274580917,0.04271000855021135,0.03426849247342151,0.0,0.0,0.12910738951816414,0.27820788830169046
25,0.07629008847758927,0.1735078716965353,0.0,0.08031723657731439,0.08855760341264554,0.06606601367539744,0.0,0.0,0.4353177060399402,0.0799434801205778
26,0.20287698908355817,0.15757455354051958,0.0,0.14996584799543003,0.06890035171368154,0.003912945942153469,0.05217758089970799,0.0,0.29219752141201555,0.07239420941293366
27,0.13635937943912146,0.26667221787476164,0.010304081855777691,0.04856200937638856,0.027669618921714996,0.021297158717515745,0.0030262038608076668,0.0,0.46632099747185735,0.019788332482054794
28,0.0022080881581046687,0.19244497417085274,0.054319483630437294,0.1363782482259701,0.0,0.1172947547592558,0.0,0.0,0.3803261780618352,0.11702827299354426
29,0.20849331349111677,0.08862856924460967,0.03804071096630484,0.08044247314148194,0.08602636105545387,0.028976848314964245,0.0,0.0,0.3673076512452345,0.1020840725408341
30,0.0,0.14953307198933458,0.023817661169114088,0.1182698722253269,0.05370367090418689,0.1713563591881088,0.0,0.0,0.3976371003120579,0.08568226421187093
31,0.0,0.25328370866509853,0.0999412090608933,0.09618544970518936,0.0,0.02292777264310662,0.0,0.0,0.5261783932977836,0.001483466627928598
32,0.20727746155895224,0.06580527272022921,0.04922739297426351,0.23300401826688444,0.03645143676920632,0.0,0.0,0.0,0.3267617623545428,0.08147265535592148
33,0.08791029824141657,0.13650830101231431,0.0,0.11184970056505045,0.31981778842407704,0.0037759180663294732,0.0,0.0,0.26003732633463955,0.08010066735617268
